Time,ERV-CLB03:DesPer 1:Des Heat Mass Flow [kg/s],ERV-CLB03:DesPer 1:Des Heat Cap [W],ERV-CLB03:DesPer 1:Des Cool Mass Flow [kg/s],ERV-CLB03:DesPer 1:Des Sens Cool Cap [W],ERV-CLB03:DesPer 1:Des Tot Cool Cap [W],ERV-CLB03:DesPer 2:Des Heat Mass Flow [kg/s],ERV-CLB03:DesPer 2:Des Heat Cap [W],ERV-CLB03:DesPer 2:Des Cool Mass Flow [kg/s],ERV-CLB03:DesPer 2:Des Sens Cool Cap [W],ERV-CLB03:DesPer 2:Des Tot Cool Cap [W],ERV-CLB05:DesPer 1:Des Heat Mass Flow [kg/s],ERV-CLB05:DesPer 1:Des Heat Cap [W],ERV-CLB05:DesPer 1:Des Cool Mass Flow [kg/s],ERV-CLB05:DesPer 1:Des Sens Cool Cap [W],ERV-CLB05:DesPer 1:Des Tot Cool Cap [W],ERV-CLB05:DesPer 2:Des Heat Mass Flow [kg/s],ERV-CLB05:DesPer 2:Des Heat Cap [W],ERV-CLB05:DesPer 2:Des Cool Mass Flow [kg/s],ERV-CLB05:DesPer 2:Des Sens Cool Cap [W],ERV-CLB05:DesPer 2:Des Tot Cool Cap [W],ERV-CLB21:DesPer 1:Des Heat Mass Flow [kg/s],ERV-CLB21:DesPer 1:Des Heat Cap [W],ERV-CLB21:DesPer 1:Des Cool Mass Flow [kg/s],ERV-CLB21:DesPer 1:Des Sens Cool Cap [W],ERV-CLB21:DesPer 1:Des Tot Cool Cap [W],ERV-CLB21:DesPer 2:Des Heat Mass Flow [kg/s],ERV-CLB21:DesPer 2:Des Heat Cap [W],ERV-CLB21:DesPer 2:Des Cool Mass Flow [kg/s],ERV-CLB21:DesPer 2:Des Sens Cool Cap [W],ERV-CLB21:DesPer 2:Des Tot Cool Cap [W],ERV-FIT:DesPer 1:Des Heat Mass Flow [kg/s],ERV-FIT:DesPer 1:Des Heat Cap [W],ERV-FIT:DesPer 1:Des Cool Mass Flow [kg/s],ERV-FIT:DesPer 1:Des Sens Cool Cap [W],ERV-FIT:DesPer 1:Des Tot Cool Cap [W],ERV-FIT:DesPer 2:Des Heat Mass Flow [kg/s],ERV-FIT:DesPer 2:Des Heat Cap [W],ERV-FIT:DesPer 2:Des Cool Mass Flow [kg/s],ERV-FIT:DesPer 2:Des Sens Cool Cap [W],ERV-FIT:DesPer 2:Des Tot Cool Cap [W],ERV-GTHR:DesPer 1:Des Heat Mass Flow [kg/s],ERV-GTHR:DesPer 1:Des Heat Cap [W],ERV-GTHR:DesPer 1:Des Cool Mass Flow [kg/s],ERV-GTHR:DesPer 1:Des Sens Cool Cap [W],ERV-GTHR:DesPer 1:Des Tot Cool Cap [W],ERV-GTHR:DesPer 2:Des Heat Mass Flow [kg/s],ERV-GTHR:DesPer 2:Des Heat Cap [W],ERV-GTHR:DesPer 2:Des Cool Mass Flow [kg/s],ERV-GTHR:DesPer 2:Des Sens Cool Cap [W],ERV-GTHR:DesPer 2:Des Tot Cool Cap [W],ERV-LNDRY:DesPer 1:Des Heat Mass Flow [kg/s],ERV-LNDRY:DesPer 1:Des Heat Cap [W],ERV-LNDRY:DesPer 1:Des Cool Mass Flow [kg/s],ERV-LNDRY:DesPer 1:Des Sens Cool Cap [W],ERV-LNDRY:DesPer 1:Des Tot Cool Cap [W],ERV-LNDRY:DesPer 2:Des Heat Mass Flow [kg/s],ERV-LNDRY:DesPer 2:Des Heat Cap [W],ERV-LNDRY:DesPer 2:Des Cool Mass Flow [kg/s],ERV-LNDRY:DesPer 2:Des Sens Cool Cap [W],ERV-LNDRY:DesPer 2:Des Tot Cool Cap [W],ERV-LOB:DesPer 1:Des Heat Mass Flow [kg/s],ERV-LOB:DesPer 1:Des Heat Cap [W],ERV-LOB:DesPer 1:Des Cool Mass Flow [kg/s],ERV-LOB:DesPer 1:Des Sens Cool Cap [W],ERV-LOB:DesPer 1:Des Tot Cool Cap [W],ERV-LOB:DesPer 2:Des Heat Mass Flow [kg/s],ERV-LOB:DesPer 2:Des Heat Cap [W],ERV-LOB:DesPer 2:Des Cool Mass Flow [kg/s],ERV-LOB:DesPer 2:Des Sens Cool Cap [W],ERV-LOB:DesPer 2:Des Tot Cool Cap [W],ERV-SKY:DesPer 1:Des Heat Mass Flow [kg/s],ERV-SKY:DesPer 1:Des Heat Cap [W],ERV-SKY:DesPer 1:Des Cool Mass Flow [kg/s],ERV-SKY:DesPer 1:Des Sens Cool Cap [W],ERV-SKY:DesPer 1:Des Tot Cool Cap [W],ERV-SKY:DesPer 2:Des Heat Mass Flow [kg/s],ERV-SKY:DesPer 2:Des Heat Cap [W],ERV-SKY:DesPer 2:Des Cool Mass Flow [kg/s],ERV-SKY:DesPer 2:Des Sens Cool Cap [W],ERV-SKY:DesPer 2:Des Tot Cool Cap [W],RTU-01:DesPer 1:Des Heat Mass Flow [kg/s],RTU-01:DesPer 1:Des Heat Cap [W],RTU-01:DesPer 1:Des Cool Mass Flow [kg/s],RTU-01:DesPer 1:Des Sens Cool Cap [W],RTU-01:DesPer 1:Des Tot Cool Cap [W],RTU-01:DesPer 2:Des Heat Mass Flow [kg/s],RTU-01:DesPer 2:Des Heat Cap [W],RTU-01:DesPer 2:Des Cool Mass Flow [kg/s],RTU-01:DesPer 2:Des Sens Cool Cap [W],RTU-01:DesPer 2:Des Tot Cool Cap [W]
01:00:00,4.435305E-01,0.000000E+00,4.435305E-01,3.319465E+03,3.717303E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.659733E+03,1.858652E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.766221E+02,3.097753E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,9.897358E+02,1.108356E+03,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.425485E+00,1.066860E+04,1.194723E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.572233E+03,1.760665E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.813396E+03,2.030732E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.662178E+03,1.861390E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.662922E+04,1.845490E+00,1.381199E+04,1.546736E+04,1.904051E+00,8.456795E+04,1.845490E+00,0.000000E+00,0.000000E+00
02:00:00,4.435305E-01,0.000000E+00,4.435305E-01,3.134060E+03,3.528156E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.567030E+03,1.764078E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.611717E+02,2.940130E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,9.344551E+02,1.051959E+03,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.418672E+00,1.002457E+04,1.128512E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.484417E+03,1.671077E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.712111E+03,1.927402E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.569338E+03,1.766677E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.740067E+04,1.845490E+00,1.304054E+04,1.468033E+04,1.904069E+00,8.456877E+04,1.845490E+00,0.000000E+00,0.000000E+00
03:00:00,4.435305E-01,0.000000E+00,4.435305E-01,2.995006E+03,3.386299E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.497503E+03,1.693149E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.495838E+02,2.821915E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,8.929947E+02,1.009663E+03,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.414644E+00,9.552592E+03,1.080062E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.418556E+03,1.603888E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.636147E+03,1.849907E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.499709E+03,1.695644E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.797926E+04,1.845490E+00,1.246195E+04,1.409008E+04,1.904083E+00,8.456939E+04,1.845490E+00,0.000000E+00,0.000000E+00
04:00:00,4.435305E-01,0.000000E+00,4.435305E-01,2.855952E+03,3.244442E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.427976E+03,1.622221E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.379960E+02,2.703702E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,8.515342E+02,9.673668E+02,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.409414E+00,9.075407E+03,1.030992E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.352694E+03,1.536699E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.560183E+03,1.772412E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.430080E+03,1.624611E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.855785E+04,1.845490E+00,1.188335E+04,1.349983E+04,1.904108E+00,8.457047E+04,1.845490E+00,0.000000E+00,0.000000E+00
05:00:00,4.435305E-01,0.000000E+00,4.435305E-01,2.763250E+03,3.149874E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.381625E+03,1.574937E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.302708E+02,2.624895E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,8.238939E+02,9.391704E+02,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.405228E+00,8.754747E+03,9.979682E+03,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.308787E+03,1.491908E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.509541E+03,1.720750E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.383660E+03,1.577257E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.894358E+04,1.845490E+00,1.149763E+04,1.310634E+04,1.904130E+00,8.457144E+04,1.845490E+00,0.000000E+00,0.000000E+00
06:00:00,4.435305E-01,0.000000E+00,4.435305E-01,2.855952E+03,3.244442E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.427976E+03,1.622221E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.379960E+02,2.703702E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,8.515342E+02,9.673668E+02,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.407101E+00,9.060510E+03,1.029299E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.352694E+03,1.536699E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.560183E+03,1.772412E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.430080E+03,1.624611E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.855785E+04,1.845490E+00,1.188335E+04,1.349983E+04,1.904150E+00,8.457235E+04,1.845490E+00,0.000000E+00,0.000000E+00
07:00:00,4.435305E-01,0.000000E+00,4.435305E-01,3.180411E+03,3.575444E+03,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,2.217653E-01,1.590206E+03,1.787722E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,3.696088E-02,2.650343E+02,2.979537E+02,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.322436E-01,9.482753E+02,1.066059E+03,1.322436E-01,2.777320E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,1.448565E+00,1.038718E+04,1.167736E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.506371E+03,1.693475E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,1.737432E+03,1.953236E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,2.220919E-01,1.592548E+03,1.790356E+03,2.220919E-01,4.664274E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.720781E+04,1.845490E+00,1.323340E+04,1.487709E+04,1.904180E+00,8.457368E+04,1.845490E+00,0.000000E+00,0.000000E+00
08:00:00,4.435305E-01,0.000000E+00,1.143635E+00,1.023240E+04,1.129203E+04,4.435305E-01,9.314826E+03,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,5.636199E-01,5.042854E+03,5.565077E+03,2.217653E-01,4.657413E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,1.293859E-01,1.157649E+03,1.277532E+03,3.696088E-02,7.762355E+02,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,1.659170E-01,1.484502E+03,1.638233E+03,1.874787E-01,3.937341E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,2.099605E+00,1.878572E+04,2.073111E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,2.100740E-01,1.879587E+03,2.074231E+03,2.100740E-01,4.411878E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,2.422971E-01,2.167895E+03,2.392396E+03,2.422971E-01,5.088612E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,5.749936E-01,5.144618E+03,5.677379E+03,3.551878E-01,7.459491E+03,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.392913E+04,1.845490E+00,1.651208E+04,1.822202E+04,1.904231E+00,8.457593E+04,1.845490E+00,0.000000E+00,0.000000E+00
09:00:00,4.435305E-01,0.000000E+00,2.724240E+00,2.978373E+04,3.241740E+04,7.665216E-01,1.609814E+04,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,1.425769E+00,1.558773E+04,1.696610E+04,3.318892E-01,6.970186E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,2.879759E-01,3.148401E+03,3.426802E+03,9.850222E-02,2.068699E+03,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,5.243407E-01,5.732544E+03,6.239451E+03,4.706461E-01,9.884294E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,3.084915E+00,3.372695E+04,3.670929E+04,9.455036E-01,1.985704E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,4.929147E-01,5.388968E+03,5.865494E+03,5.480794E-01,1.151051E+04,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,3.340015E-01,3.651592E+03,3.974488E+03,3.015323E-01,6.332644E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,1.207923E+00,1.320605E+04,1.437381E+04,8.389620E-01,1.761950E+04,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,3.026472E+04,1.845490E+00,2.017648E+04,2.196061E+04,1.904224E+00,8.457563E+04,1.845490E+00,0.000000E+00,0.000000E+00
10:00:00,4.435305E-01,0.000000E+00,2.380378E+00,3.025329E+04,3.264034E+04,7.459364E-01,1.566582E+04,4.435305E-01,0.000000E+00,0.000000E+00,2.217653E-01,0.000000E+00,1.288842E+00,1.638048E+04,1.767293E+04,3.500128E-01,7.350810E+03,2.217653E-01,0.000000E+00,0.000000E+00,3.696088E-02,0.000000E+00,2.329153E-01,2.960225E+03,3.193793E+03,8.417838E-02,1.767876E+03,3.696088E-02,0.000000E+00,0.000000E+00,1.322436E-01,0.000000E+00,4.677236E-01,5.944511E+03,6.413545E+03,3.798461E-01,7.977354E+03,1.322436E-01,0.000000E+00,0.000000E+00,7.229359E-01,0.000000E+00,3.044426E+00,3.869299E+04,4.174594E+04,7.229359E-01,1.518277E+04,7.229359E-01,0.000000E+00,0.000000E+00,2.100740E-01,0.000000E+00,4.487135E-01,5.702903E+03,6.152873E+03,3.888672E-01,8.166812E+03,2.100740E-01,0.000000E+00,0.000000E+00,2.422971E-01,0.000000E+00,3.153796E-01,4.008301E+03,4.324564E+03,2.737245E-01,5.748638E+03,2.422971E-01,0.000000E+00,0.000000E+00,2.220919E-01,0.000000E+00,1.103960E+00,1.403072E+04,1.513778E+04,6.848388E-01,1.438267E+04,2.220919E-01,0.000000E+00,0.000000E+00,1.845490E+00,2.698605E+04,1.845490E+00,2.345516E+04,2.530582E+04,1.904138E+00,8.457181E+04,1.845490E+00,0.000000E+00,0.000000E+00
