zone,airflow
THERMAL ZONE: AMEN_0300,0.143472
THERMAL ZONE: AMEN_0400,0.143472
THERMAL ZONE: AMEN_0500,0.143472
THERMAL ZONE: AMEN_2100,0.143472
THERMAL ZONE: AMEN_2204,0.566337
THERMAL ZONE: AMEN_2205,0.143472
THERMAL ZONE: AMEN_FITNESS_2202,0.349241
THERMAL ZONE: AMEN_SKYLOUNGE_2201,0.849505
THERMAL ZONE: AMEN_SUNROOM_2203,0.500264
THERMAL ZONE: LAUNDRY_0109,0.467228
THERMAL ZONE: LOBBY_0101,0.232827
THERMAL ZONE: MAIL_0101,0.232827
THERMAL ZONE: OFFICE_0101,0.357893
THERMAL ZONE: PACKAGE_0100,0.058521
THERMAL ZONE: RETAIL_0100,1.398852
THERMAL ZONE: UNIT_0201_4B,0.283168
THERMAL ZONE: UNIT_0202,0.119875
THERMAL ZONE: UNIT_0203,0.119875
THERMAL ZONE: UNIT_0204,0.119875
THERMAL ZONE: UNIT_0205,0.119875
THERMAL ZONE: UNIT_0206,0.119875
THERMAL ZONE: UNIT_0207,0.119875
THERMAL ZONE: UNIT_0208,0.119875
THERMAL ZONE: UNIT_0209_3B,0.283168
THERMAL ZONE: UNIT_0210,0.119875
THERMAL ZONE: UNIT_0211_2B,0.198218
THERMAL ZONE: UNIT_0212,0.119875
THERMAL ZONE: UNIT_0213,0.119875
THERMAL ZONE: UNIT_0214,0.119875
THERMAL ZONE: UNIT_0215,0.119875
THERMAL ZONE: UNIT_0216,0.119875
THERMAL ZONE: UNIT_0217,0.119875
THERMAL ZONE: UNIT_0218,0.119875
THERMAL ZONE: UNIT_0219_4B,0.283168
THERMAL ZONE: UNIT_0301_4B,0.283168
THERMAL ZONE: UNIT_0302,0.119875
THERMAL ZONE: UNIT_0303,0.119875
THERMAL ZONE: UNIT_0304,0.119875
THERMAL ZONE: UNIT_0305,0.119875
THERMAL ZONE: UNIT_0306,0.119875
THERMAL ZONE: UNIT_0307_3B,0.283168
THERMAL ZONE: UNIT_0308,0.119875
THERMAL ZONE: UNIT_0309_2B,0.198218
THERMAL ZONE: UNIT_0310,0.119875
THERMAL ZONE: UNIT_0311,0.119875
THERMAL ZONE: UNIT_0312,0.119875
THERMAL ZONE: UNIT_0313,0.119875
THERMAL ZONE: UNIT_0314,0.119875
THERMAL ZONE: UNIT_0315,0.119875
THERMAL ZONE: UNIT_0316,0.119875
THERMAL ZONE: UNIT_0317_4B,0.283168
THERMAL ZONE: UNIT_0401_4B,0.283168
THERMAL ZONE: UNIT_0402,0.119875
THERMAL ZONE: UNIT_0403,0.119875
THERMAL ZONE: UNIT_0404,0.119875
THERMAL ZONE: UNIT_0405,0.119875
THERMAL ZONE: UNIT_0406,0.119875
THERMAL ZONE: UNIT_0407_3B,0.283168
THERMAL ZONE: UNIT_0408,0.119875
THERMAL ZONE: UNIT_0409_2B,0.198218
THERMAL ZONE: UNIT_0410,0.119875
THERMAL ZONE: UNIT_0411,0.119875
THERMAL ZONE: UNIT_0412,0.119875
THERMAL ZONE: UNIT_0413,0.119875
THERMAL ZONE: UNIT_0414,0.119875
THERMAL ZONE: UNIT_0415,0.119875
THERMAL ZONE: UNIT_0416,0.119875
THERMAL ZONE: UNIT_0417_4B,0.283168
THERMAL ZONE: UNIT_0501_4B,0.283168
THERMAL ZONE: UNIT_0502,0.119875
THERMAL ZONE: UNIT_0503,0.119875
THERMAL ZONE: UNIT_0504,0.119875
THERMAL ZONE: UNIT_0505,0.119875
THERMAL ZONE: UNIT_0506,0.119875
THERMAL ZONE: UNIT_0507_3B,0.283168
THERMAL ZONE: UNIT_0508,0.119875
THERMAL ZONE: UNIT_0509_2B,0.198218
THERMAL ZONE: UNIT_0510,0.119875
THERMAL ZONE: UNIT_0511,0.119875
THERMAL ZONE: UNIT_0512,0.119875
THERMAL ZONE: UNIT_0513,0.119875
THERMAL ZONE: UNIT_0514,0.119875
THERMAL ZONE: UNIT_0515,0.119875
THERMAL ZONE: UNIT_0516,0.119875
THERMAL ZONE: UNIT_0517_4B,0.283168
THERMAL ZONE: UNIT_2101_4B,0.283168
THERMAL ZONE: UNIT_2102,0.119875
THERMAL ZONE: UNIT_2103,0.119875
THERMAL ZONE: UNIT_2104,0.119875
THERMAL ZONE: UNIT_2105,0.119875
THERMAL ZONE: UNIT_2106,0.119875
THERMAL ZONE: UNIT_2107_3B,0.283168
THERMAL ZONE: UNIT_2108,0.119875
THERMAL ZONE: UNIT_2109_2B,0.198218
THERMAL ZONE: UNIT_2110,0.119875
THERMAL ZONE: UNIT_2111,0.119875
THERMAL ZONE: UNIT_2112,0.119875
THERMAL ZONE: UNIT_2113,0.119875
THERMAL ZONE: UNIT_2114,0.119875
THERMAL ZONE: UNIT_2115,0.119875
THERMAL ZONE: UNIT_2116,0.119875
THERMAL ZONE: UNIT_2117_4B,0.283168
THERMAL ZONE: XFMR_0201,0.115155
THERMAL ZONE: XFMR_0401,0.115155
